2, status:1, result:2,
3, status:0, result:2,
5, status:2, result:1,
8, status:1, result:2,
11, status:0, result:2,
12, status:0, result:2,
13, status:1, result:2,
14, status:1, result:0,
17, status:0, result:2,
26, status:1, result:0,
31, status:2, result:1,
32, status:0, result:1,
33, status:2, result:0,
37, status:0, result:1,
38, status:1, result:0,
44, status:2, result:1,
47, status:1, result:2,
52, status:1, result:2,
54, status:0, result:2,
61, status:0, result:2,
65, status:0, result:2,
66, status:1, result:2,
73, status:0, result:2,
74, status:0, result:2,
75, status:0, result:2,
80, status:0, result:2,
81, status:2, result:1,
84, status:0, result:1,
88, status:0, result:2,
89, status:0, result:2,
91, status:0, result:1,
92, status:1, result:2,
94, status:0, result:1,
115, status:1, result:2,
123, status:1, result:0,
129, status:2, result:1,
131, status:1, result:2,
135, status:0, result:1,
138, status:0, result:2,
141, status:1, result:2,
145, status:1, result:2,
147, status:1, result:0,
149, status:0, result:2,
152, status:1, result:2,
153, status:1, result:0,
155, status:1, result:2,
158, status:1, result:2,
160, status:1, result:0,
165, status:1, result:0,
166, status:0, result:2,
168, status:0, result:2,
173, status:0, result:2,
175, status:1, result:2,
178, status:0, result:1,
181, status:0, result:1,
191, status:2, result:1,
192, status:1, result:0,
200, status:1, result:2,
201, status:0, result:2,
203, status:1, result:0,
210, status:0, result:1,
216, status:1, result:0,
222, status:1, result:2,
226, status:0, result:2,
229, status:1, result:2,
231, status:0, result:2,
236, status:1, result:2,
242, status:0, result:2,
243, status:1, result:0,
244, status:0, result:2,
246, status:1, result:2,
248, status:0, result:2,
251, status:1, result:2,
253, status:0, result:2,
255, status:0, result:2,
260, status:0, result:2,
268, status:0, result:1,
269, status:0, result:2,
272, status:0, result:2,
273, status:1, result:2,
274, status:1, result:2,
275, status:1, result:0,
276, status:1, result:0,
277, status:0, result:2,
278, status:0, result:2,
280, status:1, result:2,
281, status:0, result:2,
282, status:1, result:2,
283, status:0, result:2,
284, status:1, result:2,
285, status:0, result:2,
286, status:0, result:2,
292, status:1, result:0,
294, status:1, result:2,
296, status:0, result:2,
302, status:0, result:1,
308, status:0, result:1,
309, status:2, result:1,
311, status:1, result:2,
313, status:1, result:2,
315, status:1, result:2,
317, status:0, result:2,
318, status:0, result:1,
322, status:1, result:2,
324, status:0, result:2,
326, status:1, result:0,
327, status:0, result:2,
329, status:0, result:2,
335, status:1, result:2,
339, status:0, result:1,
342, status:0, result:1,
343, status:0, result:1,
352, status:1, result:2,
353, status:1, result:2,
354, status:1, result:2,
357, status:0, result:1,
360, status:0, result:2,
365, status:0, result:1,
367, status:0, result:2,
368, status:1, result:2,
371, status:0, result:1,
374, status:0, result:2,
377, status:0, result:2,
379, status:1, result:2,
386, status:1, result:2,
387, status:0, result:1,
391, status:0, result:2,
392, status:0, result:2,
397, status:0, result:2,
398, status:1, result:2,
403, status:1, result:2,
405, status:0, result:2,
412, status:0, result:2,
413, status:1, result:2,
417, status:1, result:2,
420, status:0, result:2,
422, status:0, result:2,
423, status:0, result:2,
424, status:0, result:2,
425, status:0, result:2,
427, status:1, result:2,
431, status:0, result:2,
439, status:0, result:2,
441, status:0, result:2,
442, status:1, result:2,
443, status:0, result:2,
451, status:0, result:2,
454, status:2, result:1,
456, status:0, result:1,
457, status:1, result:2,
459, status:0, result:2,
460, status:0, result:2,
462, status:0, result:2,
463, status:2, result:1,
471, status:1, result:2,
475, status:1, result:2,
479, status:1, result:2,
480, status:0, result:2,
482, status:0, result:2,
484, status:1, result:2,
490, status:0, result:2,
491, status:0, result:1,
494, status:1, result:2,
501, status:0, result:1,
505, status:0, result:1,
506, status:0, result:1,
508, status:0, result:2,
509, status:0, result:2,
514, status:0, result:2,
515, status:0, result:2,
516, status:0, result:2,
518, status:2, result:0,
531, status:1, result:2,
532, status:1, result:2,
546, status:0, result:2,
554, status:0, result:2,
559, status:1, result:2,
565, status:1, result:2,
567, status:0, result:2,
568, status:0, result:2,
573, status:0, result:2,
580, status:1, result:2,
583, status:0, result:2,
585, status:1, result:2,
588, status:1, result:2,
590, status:1, result:0,
595, status:1, result:0,
597, status:0, result:2,
598, status:1, result:0,
189,
